 * Serving Flask app 'sqlite_web.sqlite_web' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.2.87:8080/ (Press CTRL+C to quit)
127.0.0.1 - - [06/Mar/2022 12:10:49] "GET /chores/ HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2022 12:10:49] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2022 12:10:49] "GET /static/css/sqlbrowse.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2022 12:10:49] "GET /static/css/syntax-highlight.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2022 12:10:49] "GET /static/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2022 12:10:49] "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2022 12:10:51] "GET /chores/ HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2022 12:10:51] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2022 12:10:51] "GET /static/css/sqlbrowse.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2022 12:10:51] "GET /static/css/syntax-highlight.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2022 12:10:51] "GET /static/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Mar/2022 12:10:51] "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
